,learning_rate,gamma,max_depth,colsample_bytree,accuracy
0,0.01,0.0,3.0,0.3,0.697841726618705
1,0.01,0.0,3.0,0.55,0.6960431654676259
2,0.01,0.0,3.0,0.8,0.6996402877697842
3,0.01,0.0,6.0,0.3,0.737410071942446
4,0.01,0.0,6.0,0.55,0.7284172661870504
5,0.01,0.0,6.0,0.8,0.7284172661870504
6,0.01,0.0,10.0,0.3,0.7446043165467626
7,0.01,0.0,10.0,0.55,0.737410071942446
8,0.01,0.0,10.0,0.8,0.7266187050359713
9,0.01,1.0,3.0,0.3,0.6942446043165468
10,0.01,1.0,3.0,0.55,0.6906474820143885
11,0.01,1.0,3.0,0.8,0.6960431654676259
12,0.01,1.0,6.0,0.3,0.7302158273381295
13,0.01,1.0,6.0,0.55,0.7176258992805755
14,0.01,1.0,6.0,0.8,0.710431654676259
15,0.01,1.0,10.0,0.3,0.7410071942446043
16,0.01,1.0,10.0,0.55,0.7176258992805755
17,0.01,1.0,10.0,0.8,0.7176258992805755
18,0.01,5.0,3.0,0.3,0.6780575539568345
19,0.01,5.0,3.0,0.55,0.6726618705035972
20,0.01,5.0,3.0,0.8,0.6780575539568345
21,0.01,5.0,6.0,0.3,0.6942446043165468
22,0.01,5.0,6.0,0.55,0.697841726618705
23,0.01,5.0,6.0,0.8,0.7032374100719424
24,0.01,5.0,10.0,0.3,0.6960431654676259
25,0.01,5.0,10.0,0.55,0.7050359712230215
26,0.01,5.0,10.0,0.8,0.7068345323741008
27,0.1,0.0,3.0,0.3,0.7428057553956835
28,0.1,0.0,3.0,0.55,0.7392086330935251
29,0.1,0.0,3.0,0.8,0.7338129496402878
30,0.1,0.0,6.0,0.3,0.7356115107913669
31,0.1,0.0,6.0,0.55,0.75
32,0.1,0.0,6.0,0.8,0.7428057553956835
33,0.1,0.0,10.0,0.3,0.7392086330935251
34,0.1,0.0,10.0,0.55,0.7446043165467626
35,0.1,0.0,10.0,0.8,0.7338129496402878
36,0.1,1.0,3.0,0.3,0.7212230215827338
37,0.1,1.0,3.0,0.55,0.7122302158273381
38,0.1,1.0,3.0,0.8,0.7086330935251799
39,0.1,1.0,6.0,0.3,0.7230215827338129
40,0.1,1.0,6.0,0.55,0.7230215827338129
41,0.1,1.0,6.0,0.8,0.7212230215827338
42,0.1,1.0,10.0,0.3,0.7284172661870504
43,0.1,1.0,10.0,0.55,0.7158273381294964
44,0.1,1.0,10.0,0.8,0.7140287769784173
45,0.1,5.0,3.0,0.3,0.6816546762589928
46,0.1,5.0,3.0,0.55,0.6726618705035972
47,0.1,5.0,3.0,0.8,0.6744604316546763
48,0.1,5.0,6.0,0.3,0.6798561151079137
49,0.1,5.0,6.0,0.55,0.6906474820143885
50,0.1,5.0,6.0,0.8,0.6888489208633094
51,0.1,5.0,10.0,0.3,0.6780575539568345
52,0.1,5.0,10.0,0.55,0.6762589928057554
53,0.1,5.0,10.0,0.8,0.6888489208633094
54,0.3,0.0,3.0,0.3,0.7194244604316546
55,0.3,0.0,3.0,0.55,0.7248201438848921
56,0.3,0.0,3.0,0.8,0.7302158273381295
57,0.3,0.0,6.0,0.3,0.7176258992805755
58,0.3,0.0,6.0,0.55,0.7428057553956835
59,0.3,0.0,6.0,0.8,0.7428057553956835
60,0.3,0.0,10.0,0.3,0.7248201438848921
61,0.3,0.0,10.0,0.55,0.7266187050359713
62,0.3,0.0,10.0,0.8,0.7338129496402878
63,0.3,1.0,3.0,0.3,0.697841726618705
64,0.3,1.0,3.0,0.55,0.697841726618705
65,0.3,1.0,3.0,0.8,0.6888489208633094
66,0.3,1.0,6.0,0.3,0.6924460431654677
67,0.3,1.0,6.0,0.55,0.6942446043165468
68,0.3,1.0,6.0,0.8,0.6834532374100719
69,0.3,1.0,10.0,0.3,0.670863309352518
70,0.3,1.0,10.0,0.55,0.6744604316546763
71,0.3,1.0,10.0,0.8,0.6762589928057554
72,0.3,5.0,3.0,0.3,0.6510791366906474
73,0.3,5.0,3.0,0.55,0.6312949640287769
74,0.3,5.0,3.0,0.8,0.6312949640287769
75,0.3,5.0,6.0,0.3,0.6438848920863309
76,0.3,5.0,6.0,0.55,0.6330935251798561
77,0.3,5.0,6.0,0.8,0.6294964028776978
78,0.3,5.0,10.0,0.3,0.6348920863309353
79,0.3,5.0,10.0,0.55,0.6438848920863309
80,0.3,5.0,10.0,0.8,0.6384892086330936
